id,ppg,gsr
1,,0
2,,1728
3,,1728
4,,1729
5,,1729
6,,1729
7,,1729
8,,1729
9,,1729
10,,1729
11,,1728
12,,1729
13,,1728
14,,1729
15,,1728
16,,1713
17,,1713
18,,1728
19,,1728
20,,1713
21,,1728
22,,1728
23,,1729
24,,1728
25,,1729
26,,1729
27,,1728
28,,1728
29,,1729
30,,1712
31,,1728
32,,1729
33,,1712
34,,1729
35,,1729
36,,1729
37,,1729
38,,1729
39,,1729
40,,1729
41,,1712
42,,1728
43,,1729
44,,1728
45,,1729
46,,1728
47,,1729
48,,1729
49,,1729
50,,1729
51,1553,
52,1568,
53,1600,
54,1648,
55,1696,
56,1648,
57,1568,
58,1584,
59,1633,
60,1649,
61,1680,
62,1777,
63,1825,
64,1856,
65,1857,
66,1825,
67,1809,
68,1857,
69,1872,
70,1920,
71,1905,
72,1792,
73,1697,
74,1601,
75,1553,
76,1504,
77,1489,
78,1473,
79,1473,
80,1472,
81,1488,
82,1489,
83,1456,
84,1456,
85,1456,
86,1473,
87,1553,
88,1585,
89,1632,
90,1617,
91,1616,
92,1584,
93,1552,
94,1569,
95,1600,
96,1616,
97,1648,
98,1633,
99,1633,
100,1632,
101,,0
102,,1729
103,,1728
104,,1729
105,,1729
106,,1712
107,,1729
108,,1729
109,,1729
110,,1729
111,,1728
112,,1729
113,,1728
114,,1729
115,,1728
116,,1728
117,,1728
118,,1728
119,,1729
120,,1728
121,,1729
122,,1729
123,,1729
124,,1728
125,,1729
126,,1728
127,,1728
128,,1729
129,,1728
130,,1729
131,,1712
132,,1729
133,,1729
134,,1728
135,,1712
136,,1728
137,,1712
138,,1713
139,,1729
140,,1729
141,,1729
142,,1729
143,,1729
144,,1728
145,,1728
146,,1729
147,,1729
148,,1728
149,,1729
150,,1728
151,1632,
152,1632,
153,1617,
154,1633,
155,1632,
156,1617,
157,1617,
158,1616,
159,1649,
160,1696,
161,1745,
162,1744,
163,1697,
164,1681,
165,1665,
166,1680,
167,1696,
168,1712,
169,1713,
170,1696,
171,1680,
172,1681,
173,1680,
174,1665,
175,1648,
176,1648,
177,1648,
178,1665,
179,1665,
180,1665,
181,1649,
182,1649,
183,1664,
184,1681,
185,1728,
186,1777,
187,1792,
188,1777,
