id,ppg,gsr
1,1569,
2,1569,
3,1568,
4,1600,
5,1600,
6,1632,
7,1633,
8,1616,
9,1648,
10,1841,
11,2065,
12,2112,
13,1921,
14,1729,
15,1617,
16,1617,
17,1665,
18,1728,
19,1745,
20,1712,
21,1648,
22,1616,
23,1601,
24,1600,
25,1617,
26,1601,
27,1633,
28,1665,
29,1632,
30,1648,
31,1792,
32,1984,
33,2000,
34,1873,
35,1712,
36,1585,
37,1569,
38,1617,
39,1697,
40,1696,
41,1648,
42,1601,
43,1584,
44,1585,
45,1585,
46,1585,
47,1600,
48,1617,
49,1617,
50,1617,
51,,0
52,,689
53,,689
54,,688
55,,688
56,,689
57,,689
58,,689
59,,689
60,,689
61,,688
62,,689
63,,688
64,,688
65,,688
66,,689
67,,688
68,,688
69,,688
70,,672
71,,688
72,,688
73,,689
74,,689
75,,689
76,,688
77,,673
78,,689
79,,672
80,,689
81,,672
82,,689
83,,689
84,,673
85,,688
86,,673
87,,673
88,,672
89,,673
90,,688
91,,688
92,,672
93,,689
94,,689
95,,688
96,,672
97,,689
98,,688
99,,673
100,,689
101,1649,
102,1841,
103,2064,
104,2097,
105,1921,
106,1729,
107,1633,
108,1600,
109,1633,
110,1681,
111,1696,
112,1680,
113,1648,
114,1601,
115,1584,
116,1569,
117,1569,
118,1568,
119,1584,
120,1585,
121,1601,
122,1600,
123,1600,
124,1616,
125,1712,
126,1984,
127,2225,
128,2177,
129,1904,
130,1665,
131,1536,
132,1537,
133,1600,
134,1649,
135,1664,
136,1681,
137,1681,
138,1648,
139,1585,
140,1552,
141,1537,
142,1568,
143,1600,
144,1617,
145,1600,
146,1600,
147,1792,
148,2032,
149,2032,
150,1840,
151,,0
152,,689
153,,672
154,,689
155,,689
156,,689
157,,689
158,,688
159,,688
160,,689
161,,672
162,,689
163,,688
164,,689
165,,689
166,,688
167,,689
168,,689
169,,689
170,,688
171,,689
172,,689
173,,688
174,,688
175,,672
176,,688
177,,688
178,,688
179,,689
180,,689
181,,688
182,,688
183,,689
184,,689
185,,689
186,,689
187,,673
188,,688
189,,688
190,,689
191,,689
192,,688
193,,688
194,,688
195,,688
196,,689
197,,689
198,,688
199,,689
200,,688
201,1633,
202,1505,
203,1505,
204,1553,
205,1632,
206,1665,
207,1648,
208,1601,
209,1569,
210,1536,
211,1552,
212,1553,
213,1584,
214,1601,
215,1600,
216,1584,
217,1568,
218,1552,
219,1536,
220,1665,
221,1969,
222,2160,
223,2048,
224,1777,
225,1584,
226,1537,
227,1568,
228,1617,
229,1680,
230,1680,
231,1617,
232,1569,
233,1552,
234,1537,
235,1568,
236,1616,
237,1616,
238,1616,
239,1601,
240,1584,
241,1617,
242,1616,
243,1601,
244,1617,
245,1745,
246,2000,
247,2145,
248,2049,
249,1808,
250,1616,
251,,0
252,,689
253,,689
254,,689
255,,689
256,,689
257,,688
258,,689
259,,689
260,,689
261,,688
262,,689
263,,689
264,,689
265,,688
266,,689
267,,688
268,,689
269,,688
270,,688
271,,688
272,,688
273,,688
274,,689
275,,689
276,,688
277,,689
278,,689
279,,688
280,,689
281,,688
282,,689
283,,689
284,,689
285,,689
286,,688
287,,689
288,,689
289,,689
290,,689
291,,689
292,,689
293,,689
294,,688
295,,689
296,,689
297,,689
298,,689
299,,689
300,,688
301,1537,
302,1553,
303,1648,
304,1713,
305,1696,
306,1633,
307,1585,
308,1584,
309,1584,
310,1585,
311,1584,
312,1585,
313,1569,
314,1584,
315,1584,
316,1616,
317,1809,
318,2017,
319,1985,
320,1793,
321,1617,
322,1521,
323,1520,
324,1585,
325,1649,
326,1665,
327,1649,
328,1600,
329,1552,
330,1536,
331,1553,
332,1552,
333,1568,
334,1552,
335,1584,
336,1584,
337,1585,
338,1585,
339,1680,
340,1921,
341,2081,
342,2016,
343,1793,
344,1600,
345,1537,
346,1584,
347,1648,
348,1681,
349,1696,
350,1664,
351,,0
352,,688
353,,688
354,,688
355,,688
356,,688
357,,689
358,,688
359,,688
360,,688
361,,689
362,,672
363,,689
364,,688
365,,689
366,,688
367,,688
368,,689
369,,689
370,,672
371,,689
372,,688
373,,688
374,,688
375,,688
376,,672
377,,688
378,,688
379,,688
380,,689
381,,689
382,,688
383,,688
384,,689
385,,689
386,,689
387,,689
388,,688
389,,689
390,,689
391,,688
392,,689
393,,689
394,,688
395,,688
396,,688
397,,688
398,,689
399,,689
400,,689
401,1632,
402,1600,
403,1569,
404,1569,
405,1553,
406,1584,
407,1632,
408,1632,
409,1601,
410,1616,
411,1616,
412,1664,
413,1857,
414,2049,
415,1985,
416,1793,
417,1649,
418,1584,
419,1585,
420,1648,
421,1680,
422,1697,
423,1696,
424,1632,
425,1553,
426,1504,
427,1537,
428,1601,
429,1681,
430,1729,
431,1729,
432,1712,
433,1825,
434,2049,
435,2177,
436,2080,
437,1905,
438,1745,
439,1584,
440,1504,
441,1472,
442,1424,
443,1456,
444,1520,
445,1473,
446,1473,
447,1569,
448,1680,
449,1665,
450,1648,
451,,0
452,,689
453,,688
454,,688
455,,689
456,,689
457,,688
458,,688
459,,688
460,,689
461,,689
462,,689
463,,688
464,,688
465,,673
466,,689
467,,688
468,,688
469,,688
470,,689
471,,673
472,,689
473,,689
474,,689
475,,688
476,,672
477,,673
478,,672
479,,688
480,,672
481,,672
482,,688
483,,688
484,,672
485,,672
486,,673
487,,673
488,,673
489,,672
490,,673
491,,673
492,,656
493,,673
494,,672
495,,673
496,,672
497,,673
498,,673
499,,673
500,,672
501,1808,
502,2128,
503,2273,
504,2144,
505,1904,
506,1649,
507,1505,
508,1521,
509,1681,
510,1872,
511,1921,
512,1840,
513,1744,
514,1680,
515,1616,
516,1617,
517,1633,
518,1824,
519,2049,
520,2097,
521,1953,
522,1745,
523,1601,
524,1584,
525,1632,
526,1697,
527,1728,
528,1681,
529,1616,
530,1585,
531,1553,
532,1568,
533,1584,
534,1601,
535,1617,
536,1617,
537,1601,
538,1617,
539,1600,
540,1600,
541,1584,
542,1584,
543,1569,
544,1584,
545,1569,
546,1696,
547,2000,
548,2208,
549,2144,
550,1889,
551,,0
552,,673
553,,657
554,,657
555,,672
556,,672
557,,656
558,,657
559,,656
560,,657
561,,657
562,,656
563,,672
564,,656
565,,657
566,,657
567,,656
568,,656
569,,657
570,,656
571,,656
572,,657
573,,656
574,,656
575,,656
576,,656
577,,656
578,,641
579,,657
580,,657
581,,640
582,,656
583,,656
584,,656
585,,656
586,,641
587,,657
588,,641
589,,641
590,,640
591,,640
592,,640
593,,641
594,,640
595,,641
596,,656
597,,641
598,,640
599,,656
600,,640
601,1729,
602,1649,
603,1648,
604,1681,
605,1760,
606,1793,
607,1745,
608,1697,
609,1648,
610,1601,
611,1585,
612,1553,
613,1601,
614,1648,
615,1664,
616,1633,
617,1616,
618,1601,
619,1569,
620,1600,
621,1616,
622,1616,
623,1824,
624,2096,
625,2160,
626,1968,
627,1728,
628,1584,
629,1537,
630,1584,
631,1665,
632,1697,
633,1665,
634,1632,
635,1569,
636,1553,
637,1552,
638,1584,
639,1616,
640,1632,
641,1632,
642,1600,
643,1600,
644,1584,
645,1632,
646,1872,
647,2048,
648,1985,
649,1793,
650,1617,
651,,0
652,,641
653,,656
654,,641
655,,656
656,,640
657,,641
658,,641
659,,641
660,,656
661,,641
662,,640
663,,641
664,,656
665,,657
666,,641
667,,640
668,,641
669,,640
670,,641
671,,640
672,,641
673,,641
674,,640
675,,657
676,,641
677,,657
678,,656
679,,641
680,,657
681,,657
682,,641
683,,656
