id,ppg,gsr
1,,0
2,,1248
3,,1249
4,,1249
5,,1248
6,,1248
7,,1248
8,,1248
9,,1248
10,,1249
11,,1248
12,,1248
13,,1248
14,,1249
15,,1248
16,,1248
17,,1248
18,,1249
19,,1249
20,,1249
21,,1248
22,,1248
23,,1249
24,,1248
25,,1249
26,,1249
27,,1249
28,,1249
29,,1249
30,,1248
31,,1248
32,,1248
33,,1249
34,,1249
35,,1248
36,,1249
37,,1248
38,,1249
39,,1249
40,,1249
41,,1249
42,,1248
43,,1248
44,,1249
45,,1248
46,,1249
47,,1249
48,,1248
49,,1248
50,,1249
51,1664,
52,1648,
53,1664,
54,1665,
55,1680,
56,1697,
57,1680,
58,1681,
59,1680,
60,1697,
61,1665,
62,1664,
63,1664,
64,1665,
65,1712,
66,1777,
67,1744,
68,1664,
69,1633,
70,1632,
71,1632,
72,1649,
73,1648,
74,1648,
75,1648,
76,1649,
77,1632,
78,1648,
79,1664,
80,1696,
81,1712,
82,1712,
83,1696,
84,1697,
85,1680,
86,1680,
87,1665,
88,1649,
89,1665,
90,1664,
91,1664,
92,1665,
93,1697,
94,1697,
95,1696,
96,1680,
97,1665,
98,1665,
99,1648,
100,1649,
101,,0
102,,1248
103,,1249
104,,1249
105,,1249
106,,1248
107,,1249
108,,1249
109,,1249
110,,1248
111,,1249
112,,1249
113,,1249
114,,1248
115,,1248
116,,1249
117,,1248
118,,1249
119,,1248
120,,1249
121,,1248
122,,1249
123,,1249
124,,1248
125,,1248
126,,1249
127,,1248
128,,1249
129,,1248
130,,1249
131,,1248
132,,1249
133,,1248
134,,1249
135,,1248
136,,1249
137,,1249
138,,1249
139,,1248
140,,1249
141,,1249
142,,1248
143,,1248
144,,1249
145,,1249
146,,1248
147,,1248
148,,1248
149,,1249
150,,1249
151,1633,
152,1632,
153,1665,
154,1681,
155,1680,
156,1681,
157,1681,
158,1665,
159,1648,
160,1664,
161,1632,
162,1633,
163,1664,
164,1665,
165,1617,
166,1601,
167,1616,
168,1664,
169,1697,
170,1696,
171,1712,
172,1680,
173,1696,
174,1745,
175,1713,
176,1680,
177,1681,
178,1664,
179,1680,
180,1696,
181,1713,
182,1713,
