id,ppg,gsr
1,,0
2,,640
3,,641
4,,641
5,,640
6,,640
7,,640
8,,640
9,,656
10,,640
11,,640
12,,641
13,,641
14,,641
15,,640
16,,656
17,,640
18,,641
19,,640
20,,640
21,,640
22,,656
23,,641
24,,640
25,,640
26,,640
27,,641
28,,641
29,,640
30,,641
31,,641
32,,640
33,,640
34,,640
35,,640
36,,640
37,,624
38,,641
39,,641
40,,640
41,,640
42,,640
43,,641
44,,641
45,,640
46,,641
47,,640
48,,641
49,,641
50,,641
51,721,
52,720,
53,720,
54,720,
55,704,
56,705,
57,720,
58,721,
59,721,
60,720,
61,720,
62,720,
63,705,
64,704,
65,720,
66,705,
67,720,
68,705,
69,720,
70,705,
71,721,
72,721,
73,721,
74,720,
75,720,
76,720,
77,705,
78,720,
79,720,
80,720,
81,720,
82,721,
83,704,
84,720,
85,720,
86,704,
87,720,
88,704,
89,721,
90,720,
91,720,
92,720,
93,720,
94,721,
95,720,
96,704,
97,705,
98,704,
99,720,
100,721,
101,,0
102,,640
103,,640
104,,641
105,,641
106,,641
107,,640
108,,641
109,,656
110,,641
111,,640
112,,640
113,,641
114,,640
115,,640
116,,657
117,,641
118,,640
119,,641
120,,640
121,,640
122,,641
123,,640
124,,641
125,,640
126,,641
127,,641
128,,640
129,,640
130,,641
131,,641
132,,657
133,,640
134,,641
135,,641
136,,641
137,,640
138,,640
139,,640
140,,641
141,,640
142,,641
143,,640
144,,640
145,,640
146,,641
147,,641
148,,641
149,,641
150,,640
151,720,
152,720,
153,721,
154,720,
155,721,
156,704,
157,721,
158,721,
159,720,
160,721,
161,704,
162,721,
163,704,
164,720,
165,720,
166,720,
167,720,
168,721,
169,721,
170,721,
171,721,
172,721,
173,720,
174,720,
175,705,
176,720,
177,720,
178,721,
179,721,
180,721,
181,721,
182,721,
183,721,
184,721,
185,705,
186,720,
187,721,
188,721,
189,720,
190,721,
191,721,
192,720,
193,705,
194,705,
195,721,
196,720,
197,720,
198,721,
199,720,
200,720,
201,,0
202,,641
203,,640
204,,641
205,,640
206,,641
207,,640
208,,641
209,,640
210,,640
211,,640
212,,640
213,,641
214,,640
215,,640
216,,641
217,,641
218,,640
219,,640
220,,640
221,,641
222,,641
223,,641
224,,625
225,,641
226,,640
227,,640
228,,640
229,,641
230,,640
231,,640
232,,640
233,,641
234,,625
235,,641
236,,641
237,,640
238,,641
239,,641
240,,640
241,,641
242,,640
243,,641
244,,641
245,,641
246,,640
247,,657
248,,624
249,,641
250,,640
251,721,
252,721,
253,721,
254,721,
255,720,
256,720,
257,720,
258,720,
259,720,
260,721,
261,721,
262,705,
263,705,
264,720,
265,704,
266,704,
267,720,
268,705,
269,720,
270,704,
271,720,
272,705,
273,705,
274,720,
275,720,
276,720,
277,720,
278,721,
279,720,
280,721,
281,721,
282,721,
283,705,
284,720,
285,720,
286,721,
287,720,
288,704,
289,720,
290,720,
291,720,
292,720,
293,720,
294,720,
295,720,
296,721,
297,720,
298,704,
299,704,
300,721,
301,,0
302,,640
303,,625
304,,641
305,,640
306,,640
307,,641
308,,640
309,,641
310,,640
311,,641
312,,640
313,,640
314,,641
315,,640
316,,656
317,,640
318,,640
319,,641
320,,640
321,,640
322,,641
323,,641
324,,640
325,,641
326,,640
327,,640
328,,641
329,,640
330,,641
331,,640
332,,641
333,,640
334,,640
335,,641
336,,640
337,,640
338,,640
339,,640
340,,641
341,,641
342,,641
343,,641
344,,640
345,,640
346,,640
347,,640
348,,640
349,,641
350,,640
351,672,
352,720,
353,721,
354,720,
355,704,
356,720,
357,720,
358,721,
359,705,
360,705,
361,705,
362,721,
363,721,
364,705,
365,720,
366,720,
367,721,
368,720,
369,721,
370,705,
371,720,
372,721,
373,720,
374,720,
375,721,
376,720,
377,720,
378,720,
379,721,
380,721,
381,721,
382,721,
383,721,
384,720,
385,720,
386,720,
387,720,
388,720,
389,720,
390,720,
391,721,
392,720,
393,721,
394,721,
395,720,
396,720,
397,704,
398,720,
399,721,
400,721,
401,,0
402,,641
403,,640
404,,640
405,,641
406,,641
407,,640
408,,640
409,,640
410,,640
411,,640
412,,640
413,,641
414,,640
415,,625
416,,641
417,,640
418,,641
419,,640
420,,640
421,,641
422,,640
423,,640
424,,640
425,,640
426,,641
427,,640
428,,641
429,,641
430,,641
431,,641
432,,640
433,,641
434,,640
435,,640
436,,641
437,,640
438,,641
439,,640
440,,640
441,,640
442,,641
443,,641
444,,641
445,,656
446,,641
447,,640
448,,640
449,,641
450,,640
451,673,
452,721,
453,720,
454,721,
455,720,
456,720,
457,720,
458,720,
459,720,
460,721,
461,721,
462,720,
463,720,
464,720,
465,721,
466,705,
467,705,
468,705,
469,720,
470,705,
471,720,
472,720,
473,704,
474,720,
475,720,
476,721,
477,720,
478,720,
479,721,
480,720,
481,721,
482,721,
483,720,
484,720,
485,720,
486,721,
487,721,
488,705,
489,720,
490,721,
491,721,
492,720,
493,720,
494,721,
495,721,
496,721,
497,720,
498,721,
499,721,
500,720,
501,,0
502,,641
503,,640
504,,640
505,,641
506,,641
507,,641
508,,640
509,,641
510,,640
511,,640
512,,641
513,,640
514,,641
515,,640
516,,656
517,,640
518,,640
519,,641
520,,641
521,,641
522,,640
523,,640
524,,640
525,,641
526,,641
527,,625
528,,640
529,,640
530,,640
531,,640
532,,641
533,,640
534,,641
535,,640
536,,641
537,,640
538,,641
539,,641
540,,641
541,,641
542,,640
543,,641
544,,641
545,,641
546,,640
547,,641
548,,656
549,,656
550,,641
551,673,
552,720,
553,721,
554,720,
555,705,
556,705,
557,720,
558,705,
559,721,
560,720,
561,704,
562,720,
563,721,
564,704,
565,721,
566,721,
567,720,
568,721,
569,720,
570,705,
571,720,
572,721,
573,705,
574,720,
575,720,
576,721,
577,705,
578,720,
579,705,
580,721,
581,721,
582,721,
583,721,
584,720,
585,720,
586,720,
587,704,
588,721,
589,720,
590,705,
591,720,
592,720,
593,705,
594,705,
595,720,
596,720,
597,721,
598,720,
599,720,
600,720,
601,,0
602,,641
603,,640
604,,640
605,,641
606,,641
607,,640
608,,641
609,,640
610,,641
611,,641
612,,641
613,,640
614,,640
615,,641
616,,640
617,,640
618,,640
619,,640
620,,641
621,,625
622,,640
623,,641
624,,640
625,,641
626,,641
627,,641
628,,641
629,,641
630,,641
631,,656
632,,641
633,,641
634,,641
635,,641
636,,640
637,,641
638,,640
639,,656
640,,640
641,,641
642,,640
643,,641
644,,640
645,,641
646,,641
647,,641
648,,641
649,,657
650,,641
651,672,
652,721,
653,720,
654,720,
655,704,
656,721,
657,705,
658,704,
659,720,
660,705,
661,721,
662,720,
663,720,
664,720,
665,705,
666,720,
667,720,
668,720,
669,720,
670,720,
671,705,
672,720,
673,720,
674,721,
675,720,
676,720,
677,720,
678,705,
679,720,
680,720,
681,720,
682,720,
683,720,
684,720,
685,704,
686,721,
687,705,
688,704,
689,721,
690,721,
691,721,
692,721,
693,704,
694,721,
695,720,
696,705,
697,705,
698,704,
699,721,
700,704,
701,,0
702,,641
703,,640
704,,641
705,,641
706,,641
707,,640
708,,641
709,,641
710,,656
711,,656
712,,640
713,,640
714,,641
715,,640
716,,641
717,,624
718,,640
719,,641
720,,640
721,,640
722,,640
723,,640
724,,640
725,,641
726,,640
727,,641
728,,640
729,,641
730,,640
731,,640
732,,640
733,,641
734,,641
735,,641
736,,657
737,,640
738,,640
739,,641
740,,640
741,,640
742,,640
743,,640
744,,640
745,,640
746,,640
747,,640
748,,640
749,,641
750,,641
751,672,
752,720,
753,704,
754,705,
755,721,
756,720,
757,720,
758,705,
759,721,
760,720,
761,720,
762,721,
763,705,
764,720,
765,720,
766,721,
767,720,
768,704,
769,705,
770,705,
771,705,
772,720,
773,720,
774,705,
775,705,
776,721,
777,705,
778,720,
779,720,
780,721,
781,720,
782,721,
783,720,
784,720,
785,705,
786,720,
787,720,
788,720,
789,721,
790,720,
791,720,
792,720,
793,705,
794,705,
795,720,
796,720,
797,705,
798,705,
799,721,
800,721,
801,,0
802,,640
803,,641
804,,640
805,,640
806,,640
807,,640
808,,641
809,,641
810,,640
811,,641
812,,640
813,,640
814,,640
815,,641
816,,641
817,,640
818,,640
819,,641
820,,640
821,,641
822,,641
823,,641
824,,656
825,,641
826,,641
827,,641
828,,641
829,,641
830,,641
831,,641
832,,640
833,,641
834,,641
835,,640
836,,641
837,,640
838,,640
839,,640
840,,625
841,,640
842,,640
843,,640
844,,641
845,,640
846,,640
847,,640
848,,640
849,,641
850,,640
851,672,
852,721,
853,720,
854,720,
855,720,
856,720,
857,720,
858,721,
859,720,
860,721,
861,720,
862,721,
863,720,
864,721,
865,704,
866,720,
867,704,
868,721,
869,721,
870,721,
871,720,
872,721,
873,721,
874,704,
875,720,
876,720,
877,720,
878,720,
879,720,
880,704,
881,705,
882,720,
883,705,
884,721,
885,705,
886,705,
887,720,
888,704,
889,721,
890,704,
891,705,
892,720,
893,705,
894,720,
895,705,
896,705,
897,705,
898,705,
899,721,
900,705,
901,,0
902,,640
903,,640
904,,641
905,,641
906,,641
907,,640
908,,640
909,,641
910,,640
911,,640
912,,657
913,,641
914,,640
915,,640
916,,641
917,,641
918,,641
919,,641
920,,641
921,,641
922,,641
923,,641
924,,640
925,,641
